gene_name,l2fc_protein_starvedtorich,condition,cellline,RNA_pvalue,l2fc_RNA_starvedtorich,l2fc_protein_per_RNA,,,,,
YWHAB,-0.78822392,Arg,293T,0.015053117,0.384844135,-1.173068055,,,,,
YWHAE,-1.547375752,Arg,293T,0.921322914,-0.026809402,-1.52056635,,,,,
YWHAH,-0.361128655,Arg,293T,NA,NA,NA,,,,,
YWHAG,-0.341855698,Arg,293T,NA,NA,NA,,specifically corresponds to Supp Fig 3F data - for synthesis rates see proteinSynthesisRates_summary.csv,,,
YWHAQ,-1.357043368,Arg,293T,0.122189235,-1.04701888,-0.310024487,,,,,
YWHAZ,-0.7971547,Arg,293T,0.030752924,-0.94196508,0.14481038,,Key,,,
HLA-B,-0.69265159,Arg,293T,0.234384687,0.84387772,-1.53652931,,,,,
PPP2R5D,-1.866667045,Arg,293T,0.844253188,0.076376856,-1.943043901,,l2fc = log 2 fold change (-AA / Rich),,,
PPP2R5E,-1.82498403,Arg,293T,0.797283587,0.176075351,-2.001059381,,RNA l2fc/pvalue from DESeq2 analysis,,,
PPP2R5C,-1.858584678,Arg,293T,0.093226295,0.325874411,-2.184459088,,l2fc_protein_per_RNA = l2fc prot - l2fc RNA,,,
PPP2R1A,-1.485788517,Arg,293T,0.525639601,0.52769017,-2.013478688,,,,,
PPP2R1B,-5.774077406,Arg,293T,3.76E-07,-2.145167069,-3.628910337,,,,,
PPP2R2A,-0.747926513,Arg,293T,NA,NA,NA,,,,,
HIBADH,-0.229653643,Arg,293T,NA,NA,NA,,,,,
EPB41,-1.002058403,Arg,293T,0.038295433,-0.788830692,-0.213227711,,,,,
SLC3A2,0.62444977,Arg,293T,1.68E-45,3.730284515,-3.105834745,,,,,
NT5C3A,-1.823947925,Arg,293T,0.098505133,0.894052678,-2.718000603,,,,,
NT5C3B,-0.629703,Arg,293T,0.035864358,-0.64712717,0.01742417,,,,,
NT5C2,-0.745454348,Arg,293T,0.03984811,-1.208269505,0.462815158,,,,,
ATP5MJ,-1.077784502,Arg,293T,NA,NA,NA,,,,,
PGD,-0.91869904,Arg,293T,0.03247714,0.699154449,-1.617853489,,,,,
PGLS,-0.092700945,Arg,293T,0.504953338,-0.329862993,0.237162048,,,,,
NUDT1,-0.723376512,Arg,293T,0.028160076,-0.518293561,-0.205082952,,,,,
ATG16L1,-1.37614836,Arg,293T,NA,NA,NA,,,,,
SERPINF2,-1.572084204,Arg,293T,NA,NA,NA,,,,,
A2M,-2.300503942,Arg,293T,NA,NA,NA,,,,,
ATXN7L3B,-4.578093212,Arg,293T,2.73E-05,-2.224456456,-2.353636755,,,,,
SLC1A5,-3.331979154,Arg,293T,NA,NA,NA,,,,,
AACS,-1.206224797,Arg,293T,NA,NA,NA,,,,,
AAGAB,-1.556000565,Arg,293T,0.275959338,-0.461486089,-1.094514476,,,,,
PRKAB1,-2.864199555,Arg,293T,NA,NA,NA,,,,,
PRKAG1,-0.880029252,Arg,293T,NA,NA,NA,,,,,
AAMDC,-0.736422007,Arg,293T,2.20E-10,0.92734793,-1.663769937,,,,,
AAMP,-1.359825215,Arg,293T,0.762178923,0.105909847,-1.465735062,,,,,
PRKAA1,-0.65489002,Arg,293T,0.002237216,-1.395214759,0.740324739,,,,,
PRKAA2,-1.390503038,Arg,293T,NA,NA,NA,,,,,
AAR2,-1.561853345,Arg,293T,NA,NA,NA,,,,,
AARSD1,-2.63382768,Arg,293T,5.30E-07,-1.142336819,-1.491490861,,,,,
AASS,-1.106038313,Arg,293T,NA,NA,NA,,,,,
GOT1,-0.505613567,Arg,293T,0.316882918,0.332340715,-0.837954282,,,,,
AATF,-0.54416162,Arg,293T,0.005269786,1.110643454,-1.654805074,,,,,
GOT2,-0.301439337,Arg,293T,NA,NA,NA,,,,,
