PG.UniProtIds,gene_name,ProteinName,PG.ProteinNames,modification,cellline,condition,mean_ks,sd_ks,se_ks,mean_l2fc,sd_l2fc,se_l2fc,,,,,,
A0AVT1,UBA6,ubiquitin like modifier activating enzyme 6,UBA6_HUMAN,GCN2 KO,293T,Rich,0.04227,NA,NA,0,NA,NA,,KEY,,,,
A0AVT1,UBA6,ubiquitin like modifier activating enzyme 6,UBA6_HUMAN,GCN2 KO,293T,−Leu,0.02841,NA,NA,-0.573235281,NA,NA,,,,,,
A0AVT1,UBA6,ubiquitin like modifier activating enzyme 6,UBA6_HUMAN,WT,293T,Rich,0.050093333,0.003585001,0.002069801,0,0,0,,ks = synthesis rate,,,,
A0AVT1,UBA6,ubiquitin like modifier activating enzyme 6,UBA6_HUMAN,WT,293T,−Arg,0.004123,NA,NA,-3.696153641,NA,NA,,l2fc = log2 fold change (-AA / Rich),,,,
A0AVT1,UBA6,ubiquitin like modifier activating enzyme 6,UBA6_HUMAN,WT,293T,−Leu,0.022862333,0.017240407,0.009953754,-1.502719894,1.427118234,0.823947096,,sd = standard deviation from 3 biological replicate measurements,,,,
A5YKK6,CNOT1,CCR4-NOT transcription complex subunit 1,CNOT1_HUMAN,WT,293T,Rich,0.09613,NA,NA,0,NA,NA,,se = standard error from 3 biological replicate measurements,,,,
A5YKK6,CNOT1,CCR4-NOT transcription complex subunit 1,CNOT1_HUMAN,WT,293T,−Arg,0.02416,NA,NA,-1.992366279,NA,NA,,,,,,
A5YKK6,CNOT1,CCR4-NOT transcription complex subunit 1,CNOT1_HUMAN,WT,293T,−Leu,0.01066,NA,NA,-3.172779296,NA,NA,,,,,,
A6NHR9,SMCHD1,structural maintenance of chromosomes flexible hinge domain containing 1,SMHD1_HUMAN,WT,293T,Rich,0.04765,NA,NA,0,NA,NA,,,,,,
A6NHR9,SMCHD1,structural maintenance of chromosomes flexible hinge domain containing 1,SMHD1_HUMAN,WT,293T,−Arg,0.00983,NA,NA,-2.277212892,NA,NA,,,,,,
A6NHR9,SMCHD1,structural maintenance of chromosomes flexible hinge domain containing 1,SMHD1_HUMAN,WT,293T,−Leu,0.008785,NA,NA,-2.439362023,NA,NA,,,,,,
O00116,AGPS,alkylglycerone phosphate synthase,ADAS_HUMAN,GCN2 KO,293T,Rich,0.065295,0.032166287,0.018571215,0,0,0,,,,,,
O00116,AGPS,alkylglycerone phosphate synthase,ADAS_HUMAN,GCN2 KO,293T,−Leu,0.014055,0.003995153,0.002306603,-2.152322723,0.326006658,0.188220032,,,,,,
O00116,AGPS,alkylglycerone phosphate synthase,ADAS_HUMAN,WT,293T,Rich,0.03768,NA,NA,0,NA,NA,,,,,,
O00116,AGPS,alkylglycerone phosphate synthase,ADAS_HUMAN,WT,293T,−Arg,0.02441,NA,NA,-0.62632667,NA,NA,,,,,,
O00151,PDLIM1,PDZ and LIM domain 1,PDLI1_HUMAN,GCN2 KO,293T,Rich,0.04233,0.012954196,0.007479109,0,0,0,,,,,,
O00151,PDLIM1,PDZ and LIM domain 1,PDLI1_HUMAN,GCN2 KO,293T,−Leu,0.01883,0.001230366,7.10E-04,-1.135594151,0.542931816,0.31346183,,,,,,
O00154,ACOT7,acyl-CoA thioesterase 7,BACH_HUMAN,GCN2 KO,293T,Rich,0.038955,0.001265721,7.31E-04,0,0,0,,,,,,
O00154,ACOT7,acyl-CoA thioesterase 7,BACH_HUMAN,GCN2 KO,293T,−Arg,0.01399,0.002163747,0.00124924,-1.48571133,0.270912868,0.156411617,,,,,,
O00154,ACOT7,acyl-CoA thioesterase 7,BACH_HUMAN,GCN2 KO,293T,−Leu,0.024145,0.001689985,9.76E-04,-0.691472304,0.147945501,0.085416375,,,,,,
O00154,ACOT7,acyl-CoA thioesterase 7,BACH_HUMAN,WT,293T,Rich,0.057885,0.008365073,0.004829577,0,0,0,,,,,,
O00154,ACOT7,acyl-CoA thioesterase 7,BACH_HUMAN,WT,293T,−Arg,0.0126395,0.003748373,0.002164124,-2.220117457,0.225071296,0.129944974,,,,,,
O00203,AP3B1,adaptor related protein complex 3 subunit beta 1,AP3B1_HUMAN,WT,293T,Rich,0.07122,NA,NA,0,NA,NA,,,,,,
O00203,AP3B1,adaptor related protein complex 3 subunit beta 1,AP3B1_HUMAN,WT,293T,−Arg,0.0222,NA,NA,-1.681722759,NA,NA,,,,,,
O00231,PSMD11,"proteasome 26S subunit, non-ATPase 11",PSD11_HUMAN,GCN2 KO,293T,Rich,0.072863333,0.025187152,0.014541809,0,0,0,,,,,,
O00231,PSMD11,"proteasome 26S subunit, non-ATPase 11",PSD11_HUMAN,GCN2 KO,293T,−Arg,0.010014,0.004559938,0.002632681,-2.906124888,1.055717761,0.609518934,,,,,,
O00231,PSMD11,"proteasome 26S subunit, non-ATPase 11",PSD11_HUMAN,GCN2 KO,293T,−Leu,0.01303,7.73E-04,4.46E-04,-2.424695649,0.584057845,0.337205954,,,,,,
O00231,PSMD11,"proteasome 26S subunit, non-ATPase 11",PSD11_HUMAN,WT,293T,Rich,0.093643333,0.021804968,0.012589104,0,0,0,,,,,,
O00231,PSMD11,"proteasome 26S subunit, non-ATPase 11",PSD11_HUMAN,WT,293T,−Arg,0.010533,0.003494062,0.002017297,-3.188635395,0.691484798,0.399228934,,,,,,
O00231,PSMD11,"proteasome 26S subunit, non-ATPase 11",PSD11_HUMAN,WT,293T,−Leu,0.0142825,0.014407301,0.008318059,-3.039656219,2.125352685,1.227072945,,,,,,
O00232,PSMD12,"proteasome 26S subunit, non-ATPase 12",PSD12_HUMAN,GCN2 KO,293T,Rich,0.070485,0.008619632,0.004976547,0,0,0,,,,,,
O00232,PSMD12,"proteasome 26S subunit, non-ATPase 12",PSD12_HUMAN,GCN2 KO,293T,−Leu,0.013745,0.001407142,8.12E-04,-2.356785269,0.324823845,0.187537135,,,,,,
O00232,PSMD12,"proteasome 26S subunit, non-ATPase 12",PSD12_HUMAN,WT,293T,Rich,0.09729,0.025328565,0.014623454,0,0,0,,,,,,
O00232,PSMD12,"proteasome 26S subunit, non-ATPase 12",PSD12_HUMAN,WT,293T,−Arg,0.0121885,0.007002478,0.004042883,-3.102006794,0.499648852,0.288472399,,,,,,
O00232,PSMD12,"proteasome 26S subunit, non-ATPase 12",PSD12_HUMAN,WT,293T,−Leu,0.02743,NA,NA,-1.53302094,NA,NA,,,,,,
O00267,SUPT5H,"SPT5 homolog, DSIF elongation factor subunit",SPT5H_HUMAN,GCN2 KO,293T,Rich,0.03736,NA,NA,0,NA,NA,,,,,,
O00267,SUPT5H,"SPT5 homolog, DSIF elongation factor subunit",SPT5H_HUMAN,GCN2 KO,293T,−Leu,0.04275,NA,NA,0.194429965,NA,NA,,,,,,
O00267,SUPT5H,"SPT5 homolog, DSIF elongation factor subunit",SPT5H_HUMAN,WT,293T,Rich,0.069145,0.028234774,0.016301354,0,0,0,,,,,,
O00267,SUPT5H,"SPT5 homolog, DSIF elongation factor subunit",SPT5H_HUMAN,WT,293T,−Arg,0.02041,NA,NA,-1.268795553,NA,NA,,,,,,
O00267,SUPT5H,"SPT5 homolog, DSIF elongation factor subunit",SPT5H_HUMAN,WT,293T,−Leu,0.02376,0.009446947,0.005454197,-1.537691371,1.195842011,0.690419707,,,,,,
O00299,CLIC1,chloride intracellular channel 1,CLIC1_HUMAN,GCN2 KO,293T,Rich,0.035413333,0.020907368,0.012070874,0,0,0,,,,,,
O00299,CLIC1,chloride intracellular channel 1,CLIC1_HUMAN,GCN2 KO,293T,−Arg,0.014383333,0.002252384,0.001300414,-1.149329935,0.670236548,0.386961251,,,,,,
O00299,CLIC1,chloride intracellular channel 1,CLIC1_HUMAN,GCN2 KO,293T,−Leu,0.01713,0.011674862,0.006740485,-1.087534529,0.290520505,0.167732092,,,,,,
O00299,CLIC1,chloride intracellular channel 1,CLIC1_HUMAN,WT,293T,Rich,0.046426667,0.020878842,0.012054405,0,0,0,,,,,,
O00299,CLIC1,chloride intracellular channel 1,CLIC1_HUMAN,WT,293T,−Arg,0.011522,0.004975373,0.002872533,-2.031684668,0.810233396,0.467788469,,,,,,
O00299,CLIC1,chloride intracellular channel 1,CLIC1_HUMAN,WT,293T,−Leu,0.010733667,8.39E-04,4.84E-04,-2.02779361,0.542420807,0.313166799,,,,,,
O00303,EIF3F,eukaryotic translation initiation factor 3 subunit F,EIF3F_HUMAN,GCN2 KO,293T,Rich,0.09348,0.026678403,0.015402783,0,0,0,,,,,,
O00303,EIF3F,eukaryotic translation initiation factor 3 subunit F,EIF3F_HUMAN,GCN2 KO,293T,−Arg,0.014535,0.005818829,0.003359503,-2.736606389,0.248696881,0.143585211,,,,,,
O00303,EIF3F,eukaryotic translation initiation factor 3 subunit F,EIF3F_HUMAN,GCN2 KO,293T,−Leu,0.01317,0.00337,0.00194567,-2.815623858,0.165467392,0.095532643,,,,,,
O00303,EIF3F,eukaryotic translation initiation factor 3 subunit F,EIF3F_HUMAN,WT,293T,Rich,0.09484,0.032211234,0.018597165,0,0,0,,,,,,
